fetched_at_utc,pmcid,version,pmid,title,license_code,is_manuscript,is_openaccess,journal,local_dir,objects
2026-09-09T10:59:43Z,PMC4616451,1,26287420,Adiponectin as a Protective Factor Against the Progression Toward Type 2 Diabetes Mellitus in Postmenopausal Women,CC BY-ND,False,True,Medicine (Baltimore). 2015 Aug 21;94(33):e1347. doi: 10.1097/MD.0000000000001347,D:\medical_rag\data\pmc_oa\PMC4616451.1,"txt(28197B,md5=ok);json(1144B)"
2026-09-09T10:59:48Z,PMC5708951,1,29381952,Association between the number of natural teeth and diabetic retinopathy among type 2 diabetes mellitus: The Korea national health and nutrition examination survey,CC BY-ND,False,True,Medicine (Baltimore). 2017 Nov 27;96(47):e8694. doi: 10.1097/MD.0000000000008694,D:\medical_rag\data\pmc_oa\PMC5708951.1,"txt(31212B,md5=ok);json(1295B)"
2026-09-09T10:59:55Z,PMC8688977,1,33225841,Chronic limb threatening ischemia and diabetes mellitus: the severity of tibial atherosclerosis and outcome after infrapopliteal revascularization,CC BY,False,True,Scand J Surg. 2020 Nov 23;110(4):472–82. doi: 10.1177/1457496920968679,D:\medical_rag\data\pmc_oa\PMC8688977.1,"txt(51213B,md5=ok);json(2123B)"
2026-09-09T10:59:58Z,PMC5944517,1,29702999,Immunological markers as predictors of developing steroid-induced diabetes mellitus in pemphigus vulgaris patients: An observational study,CC BY-ND,False,True,Medicine (Baltimore). 2018 Apr 27;97(17):e0463. doi: 10.1097/MD.0000000000010463,D:\medical_rag\data\pmc_oa\PMC5944517.1,"txt(21078B,md5=ok);json(1168B)"
2026-09-09T11:03:51Z,PMC4085089,1,25009679,Gestational diabetes and risk of cardiovascular disease: a scoping review,CC BY-SA,False,True,Open Med. 2014 Jan 7;8(1):e1–9.,D:\medical_rag\data\pmc_oa\PMC4085089.1,"txt(40656B,md5=ok);json(827B)"
2026-09-09T11:03:55Z,PMC13532949,1,42535304,Unveiling the role of the venous system in arterial hypertension: A computational study,CC BY,False,True,J Physiol. 2026 Jul 31;604(17):7145–60. doi: 10.1113/JP289895,D:\medical_rag\data\pmc_oa\PMC13532949.1,"txt(61478B,md5=ok);json(1711B)"
2026-09-09T11:03:59Z,PMC3296233,1,22518290,From Brain to Behavior: Hypertension's Modulation of Cognition and Affect,CC BY,False,True,Int J Hypertens. 2012 Feb 19;2012:701385. doi: 10.1155/2012/701385,D:\medical_rag\data\pmc_oa\PMC3296233.1,"txt(70964B,md5=ok);json(875B)"
2026-09-09T11:04:02Z,PMC12726608,1,,Hypertension's underestimated role in dementia,CC BY,False,True,Alzheimers Dement. 2025 Dec 23;21(Suppl 6):e105645. doi: 10.1002/alz70860_105645,D:\medical_rag\data\pmc_oa\PMC12726608.1,"txt(3086B,md5=ok);json(870B)"
2026-09-09T11:04:05Z,PMC8668094,1,34898616,Prevalence and predictive risk factors of hypertension in patients hospitalized in Kamenge Military hospital and Kamenge University teaching hospital in 2019: A fixed effect modelling study in Burundi,CC BY,False,True,PLoS One. 2021 Dec 13;16(12):e0260225. doi: 10.1371/journal.pone.0260225,D:\medical_rag\data\pmc_oa\PMC8668094.1,"txt(82999B,md5=ok);json(1926B)"
2026-09-09T11:04:09Z,PMC8467937,1,34572600,Common Metabolites in Two Different Hypertensive Mouse Models: A Serum and Urine Metabolome Study,CC BY,False,True,Biomolecules. 2021 Sep 21;11(9):1387. doi: 10.3390/biom11091387,D:\medical_rag\data\pmc_oa\PMC8467937.1,"txt(42284B,md5=ok);json(1344B)"
2026-09-09T11:04:13Z,PMC6079422,1,30116733,The Impact of Type 2 Diabetes Mellitus on Long-Term Prognosis in Patients of Different Ages with Myocardial Infarction,CC BY,False,True,J Diabetes Res. 2018 Jul 10;2018:1780683. doi: 10.1155/2018/1780683,D:\medical_rag\data\pmc_oa\PMC6079422.1,"txt(28650B,md5=ok);json(1128B)"
2026-09-09T11:04:17Z,PMC7954292,1,33711079,Troponin elevation pattern and subsequent cardiac and non-cardiac outcomes: Implementing the Fourth Universal Definition of Myocardial Infarction and high-sensitivity troponin at a population level,CC BY,False,True,PLoS One. 2021 Mar 12;16(3):e0248289. doi: 10.1371/journal.pone.0248289,D:\medical_rag\data\pmc_oa\PMC7954292.1,"txt(94185B,md5=ok);json(2230B)"
2026-09-09T11:04:21Z,PMC12820609,1,40832756,Collagen XV preserves heart function and protects from pathological remodelling after myocardial infarction,CC BY,False,True,FEBS J. 2025 Aug 20;293(2):418–42. doi: 10.1111/febs.70212,D:\medical_rag\data\pmc_oa\PMC12820609.1,"txt(93244B,md5=ok);json(2030B)"
2026-09-09T11:04:24Z,PMC3747268,1,23977143,"Myocardial Salvage is Reduced in Primary PCI-Treated STEMI Patients with Microvascular Obstruction, Demonstrated by Early and Late CMR",CC BY,False,True,PLoS One. 2013 Aug 19;8(8):e71780. doi: 10.1371/journal.pone.0071780,D:\medical_rag\data\pmc_oa\PMC3747268.1,"txt(33381B,md5=ok);json(1349B)"
2026-09-09T11:04:27Z,PMC9805431,1,36587037,Cardiac magnetic resonance feature tracking global and segmental strain in acute and chronic ST-elevation myocardial infarction,CC BY,False,True,Sci Rep. 2022 Dec 31;12:22644. doi: 10.1038/s41598-022-26968-4,D:\medical_rag\data\pmc_oa\PMC9805431.1,"txt(46074B,md5=ok);json(1159B)"
2026-09-09T11:04:32Z,PMC6392978,1,28885365,Therapeutic efficacy of neuromuscular electrical stimulation and electromyographic biofeedback on Alzheimer's disease patients with dysphagia,CC BY-ND,False,True,Medicine (Baltimore). 2017 Sep 8;96(36):e8008. doi: 10.1097/MD.0000000000008008,D:\medical_rag\data\pmc_oa\PMC6392978.1,"txt(24276B,md5=ok);json(1374B)"
2026-09-09T11:04:35Z,PMC4603066,1,25929937,An Increased Risk of Reversible Dementia May Occur After Zolpidem Derivative Use in the Elderly Population: A Population-Based Case-Control Study,CC BY-ND,False,True,Medicine (Baltimore). 2015 May 1;94(17):e809. doi: 10.1097/MD.0000000000000809,D:\medical_rag\data\pmc_oa\PMC4603066.1,"txt(36075B,md5=ok);json(1271B)"
2026-09-09T11:04:39Z,PMC3779177,1,24073268,Joint Modeling of Transitional Patterns of Alzheimer's Disease,CC0,False,True,PLoS One. 2013 Sep 20;8(9):e75487. doi: 10.1371/journal.pone.0075487,D:\medical_rag\data\pmc_oa\PMC3779177.1,"txt(55704B,md5=ok);json(51876B)"
2026-09-09T11:04:42Z,PMC4055488,1,24922517,Gene-Wide Analysis Detects Two New Susceptibility Genes for Alzheimer's Disease,CC0,False,True,PLoS One. 2014 Jun 12;9(6):e94661. doi: 10.1371/journal.pone.0094661,D:\medical_rag\data\pmc_oa\PMC4055488.1,"txt(83559B,md5=ok);json(3422B)"
2026-09-09T11:04:46Z,PMC5728822,1,29310421,Assessment of change in glucose metabolism in white matter of amyloid-positive patients with Alzheimer disease using F-18 FDG PET,CC BY-ND,False,True,Medicine (Baltimore). 2017 Dec 1;96(48):e9042. doi: 10.1097/MD.0000000000009042,D:\medical_rag\data\pmc_oa\PMC5728822.1,"txt(31691B,md5=ok);json(1566B)"
2026-09-09T11:04:50Z,PMC5999712,1,21496432,Survival after Radiofrequency Ablation for 100 Cases of Lung Neoplasms,CC BY,False,True,Zhongguo Fei Ai Za Zhi. 2011 Apr 20;14(4):335–9. [Article in Chinese] doi: 10.3779/j.issn.1009-3419.2011.04.06,D:\medical_rag\data\pmc_oa\PMC5999712.1,"txt(23670B,md5=ok);json(932B)"
2026-09-09T11:04:53Z,PMC5999662,1,21426671,Stereotactic Body Radiaton Therapy for 15 Patients with Small Lung Neoplasms,CC BY,False,True,Zhongguo Fei Ai Za Zhi. 2011 Mar 20;14(3):266–70. [Article in Chinese] doi: 10.3779/j.issn.1009-3419.2011.03.12,D:\medical_rag\data\pmc_oa\PMC5999662.1,"txt(21002B,md5=ok);json(814B)"
2026-09-09T11:04:57Z,PMC6000495,1,21081050,Clinical Application and Advances in Radiofrequency Ablation of Lung Neoplasms,CC BY,False,True,Zhongguo Fei Ai Za Zhi. 2010 Nov 20;13(11):1064–9. [Article in Chinese] doi: 10.3779/j.issn.1009-3419.2010.11.13,D:\medical_rag\data\pmc_oa\PMC6000495.1,"txt(32443B,md5=ok);json(817B)"
2026-09-09T11:05:00Z,PMC9954858,1,36832135,Machine Learning System for Lung Neoplasms Distinguished Based on Scleral Data,CC BY,False,True,Diagnostics (Basel). 2023 Feb 9;13(4):648. doi: 10.3390/diagnostics13040648,D:\medical_rag\data\pmc_oa\PMC9954858.1,"txt(40218B,md5=ok);json(1230B)"
2026-09-09T11:05:03Z,PMC5342499,1,27602958,Epigenome-wide association study of smoking and DNA methylation in non-small cell lung neoplasms,CC BY,False,True,Oncotarget. 2016 Sep 2;7(43):69579–91. doi: 10.18632/oncotarget.11831,D:\medical_rag\data\pmc_oa\PMC5342499.1,"txt(51235B,md5=ok);json(1565B)"
2026-09-09T11:05:09Z,PMC12244252,1,40641714,"Effect of Magnesium Supplements on Improving Glucose Control, Blood Pressure and Lipid Profile in Patients With Type 2 Diabetes Mellitus: A systematic review and meta-analysis",CC BY-ND,False,True,Sultan Qaboos Univ Med J. 2025 May 16;25(1):382–94. doi: 10.18295/2075-0528.2848,D:\medical_rag\data\pmc_oa\PMC12244252.1,"txt(54094B,md5=ok);json(1243B)"
2026-09-09T11:05:12Z,PMC8904105,1,35299814,Expression Levels and Genetic Polymorphism of Scavenger Receptor Class B Type 1 as a Biomarker of Type 2 Diabetes Mellitus,CC BY-ND,False,True,Sultan Qaboos Univ Med J. 2022 Feb 28;22(1):117–22. doi: 10.18295/squmj.4.2021.042,D:\medical_rag\data\pmc_oa\PMC8904105.1,"txt(26492B,md5=ok);json(951B)"
2026-09-09T11:05:15Z,PMC11368228,1,39079149,Diabetes mellitus in patients with heart failure and effect modification of risk factors for short-term mortality: An observational study from the Registro Colombiano de Falla Cardíaca (RECOLFACA),CC BY,False,True,Biomedica. 2024 May 31;44(Suppl 1):182–97. doi: 10.7705/biomedica.6951,D:\medical_rag\data\pmc_oa\PMC11368228.1,"txt(57857B,md5=ok);json(1138B)"
