pmcid,title,lang,lines_full,chars_core,cjk_chars_core,cjk_ratio,tokens_full,tokens_body,tokens_core,chars_per_token_core,removed_pct,tail_cut,n_paras,para_tok_p50,para_tok_p90,para_tok_max,tab_lines
PMC5444287,A Comparative Analysis of Structural Brain MRI in the Diagnosis of Alz,en,54,0,0,0.0,447,0,0,0.0,100.0,False,0,0,0,0,0
PMC12726608,Hypertension's underestimated role in dementia,en,70,1503,0,0.0,744,314,314,4.787,57.8,False,9,2,76,100,0
PMC2024828,Proceedings: Humoral immunity in human lung neoplasms,en,36,1231,0,0.0,681,327,327,3.765,52.0,False,1,326,326,326,0
PMC12438852,The relationship between depressive symptoms and medication adherence ,en,72,1752,0,0.0,752,353,353,4.963,53.1,False,12,5,76,77,0
PMC10737162,AGE-SPECIFIC POPULATION ATTRIBUTABLE FRACTIONS FOR THE IMPACT OF HYPER,en,58,1686,0,0.0,939,433,433,3.894,53.9,False,2,216,388,431,0
PMC12760238,Mechanisms of Generating Health Disparities in the Risk of Alzheimer’s,en,47,1932,0,0.0,835,450,450,4.293,46.1,False,2,224,403,448,0
PMC13137938,Methodological Considerations in Interpreting Mortality Trends in Aort,en,96,3344,0,0.0,1607,1149,691,4.839,57.0,True,19,10,96,131,0
PMC11093495,A commentary on ‘Organ preservation strategies after neoadjuvant chemo,en,110,4800,0,0.0,2003,1423,1044,4.598,47.9,True,26,11,135,265,0
PMC11254205,A commentary on ‘Impact of lymphadenectomy extent on immunotherapy eff,en,107,4535,0,0.0,2001,1452,1065,4.258,46.8,True,26,11,158,233,0
PMC7598962,Type 2 Myocardial Infarction Resulted from the Left Thoracic Stomach,en,85,4947,0,0.0,1813,1365,1261,3.923,30.4,True,14,45,222,499,13
PMC5287964,Not only for melanoma. Subcutaneous pseudoprogression in lung squamous,en,111,5716,0,0.0,2148,1652,1363,4.194,36.5,True,27,24,158,250,0
PMC11203558,Immune Checkpoint Inhibitors in Non-Small Cell Lung Cancer (NSCLC) Tre,en,82,6075,0,0.0,4122,3579,1513,4.015,63.3,True,7,84,617,866,0
PMC10574155,"Type 1 and Type 2 Diabetes Mellitus: Commonalities, Differences and th",en,117,6474,0,0.0,5988,5498,1541,4.201,74.3,True,13,136,171,181,0
PMC5895306,Statin in the treatment of patients with myocardial infarction: A meta,en,160,7069,0,0.0,4584,4092,1707,4.141,62.8,True,37,19,130,198,0
PMC8028515,Prevalence of Type II Diabetes Mellitus Among Adult Population in Medi,en,149,7551,0,0.0,2772,2285,1719,4.393,38.0,True,42,30,110,136,0
