检查项,结果,判定,说明
向量总数,27349,PASS,与文本块总数一致
期望块数,27349,PASS,读取 chunks_length.parquet 对比
零向量行数,0,PASS,静默失败检测：全零行说明该批未写入
嵌入维度,1024,PASS,bge-m3 规格
距离度量,cosine,PASS,hnsw:space=cosine
元数据字段数,12,PASS,doc_id/chunk_index/.../tail_cut
唯一文档数,1006,PASS,与阶段③清洗后文献数一致
语义检索top1相似度,0.7422,PASS,"命中孟德尔随机化研究：二甲双胍与心血管结局"
语义检索top2相似度,0.7040,PASS,GIPS-III 心梗试验，切题
语义检索top3相似度,0.7003,PASS,同一篇的不同块，向量空间连续
单次查询耗时(s),4.85,INFO,含查询向量化，纯 CPU
自相似exact,8/8,PASS,查询文本截断 1200 字符
自相似同篇,8/8,PASS,含相邻块命中
自相似跨篇,0/8,PASS,"关键判据：跨篇命中=向量/元数据错位"
自相似平均相似度,0.9690,PASS,-
指令前缀对比,-0.0589,PASS,"无指令 0.7422 > 加指令 0.6833，故默认关闭"
过滤lang=en,en/en,PASS,返回值字段满足条件
过滤lang=zh,zh/zh,PASS,返回值字段满足条件
过滤is_table=true,True/True,PASS,返回值字段满足条件
过滤pub_year=2023,2023/2023,PASS,返回值字段满足条件
边界-空查询,不报错,PASS,"仍返回 sim 0.6215，需在 r3 加非空校验"
边界-纯空格,不报错,PASS,同空查询
边界-超长6000字符,不报错,PASS,sim 0.5925
边界-无意义串,不报错,PASS,sim 0.4754
